run_id,generation,best_sharpe
20260307-064253,1,0.9014120288393768
20260307-064253,2,0.9014120288393768
20260307-064253,3,0.9014120288393768
20260307-064253,4,0.9014120288393768
20260307-064253,5,0.9014120288393768
20260307-064253,6,0.9014120288393768
20260307-064253,7,0.9014120288393768
20260307-064253,8,0.9014120288393768
20260307-064253,9,0.9014120288393768
20260307-064253,10,0.9014120288393768
20260307-072824,1,0.90134155183306
20260307-072824,2,0.90134155183306
20260307-072824,3,0.90134155183306
20260307-072824,4,0.90134155183306
20260307-072824,5,0.90134155183306
20260307-072824,6,0.90134155183306
20260307-072824,7,0.90134155183306
20260307-072824,8,0.90134155183306
20260307-072824,9,0.90134155183306
20260307-072824,10,0.90134155183306
20260307-074514,1,0.8998691317054132
20260307-074514,2,0.8998691317054132
20260307-074514,3,0.8998691317054132
20260307-074514,4,0.8998691317054132
20260307-074514,5,0.8998691317054132
20260307-074514,6,0.8998691317054132
20260307-074514,7,0.8998691317054132
20260307-074514,8,0.8999050146175855
20260307-074514,9,0.8999050146175855
20260307-074514,10,0.8999050146175855
20260328-185359,1,3.080421121615485
20260328-185359,2,3.080421121615485
20260328-185359,3,3.0817865610865423
20260328-185359,4,3.0817865610865423
20260328-185359,5,3.0822652120859364
20260328-185359,6,3.0822652120859364
20260328-185359,7,3.084544086991851
20260328-185359,8,3.084544086991851
20260328-185359,9,3.084544086991851
20260328-185359,10,3.084544086991851
20260329-101714,1,3.0825571509059597
20260329-101714,2,3.0825571509059597
20260329-101714,3,3.0825571509059597
20260329-101714,4,3.0825571509059597
20260329-101714,5,3.0825571509059597
20260329-101714,6,3.0825571509059597
20260329-101714,7,3.0825571509059597
20260329-101714,8,3.0825571509059597
20260329-101714,9,3.0825571509059597
20260329-101714,10,3.0825571509059597
20260330-200710,1,3.1529620063043966
20260330-200710,2,3.1529620063043966
20260330-200710,3,3.1583368595179917
20260330-200710,4,3.1638289126759354
20260330-200710,5,3.1638289126759354
20260330-200710,6,3.1638289126759354
20260330-200710,7,3.1638289126759354
20260330-200710,8,3.1638289126759354
20260330-200710,9,3.1638289126759354
20260330-200710,10,3.1638289126759354
20260331-210616,1,3.1676936707645567
20260331-210616,2,3.1676936707645567
20260331-210616,3,3.1677306753990044
20260331-210616,4,3.1677306753990044
20260331-210616,5,3.1677306753990044
20260331-210616,6,3.1677306753990044
20260331-210616,7,3.1677306753990044
20260331-210616,8,3.1677306753990044
20260331-210616,9,3.1677306753990044
20260331-210616,10,3.1677306753990044
20260402-134924,1,2.78116925792374
20260402-134924,2,2.782655367981001
20260402-134924,3,2.782655367981001
20260402-134924,4,2.782655367981001
20260402-134924,5,2.782655367981001
20260402-134924,6,2.782655367981001
20260402-134924,7,2.782655367981001
20260402-134924,8,2.782655367981001
20260402-134924,9,2.7860849939338905
20260402-134924,10,2.788371412795867
20260403-090929,1,2.800022608894812
20260403-090929,2,2.800022608894812
20260403-090929,3,2.800022608894812
20260403-090929,4,2.800022608894812
20260403-090929,5,2.800022608894812
20260403-090929,6,2.800022608894812
20260403-090929,7,2.800022608894812
20260403-090929,8,2.8011149949534846
20260403-090929,9,2.8011149949534846
20260403-090929,10,2.8011149949534846
20260404-072616,1,2.799129757665949
20260404-072616,2,2.799129757665949
20260404-072616,3,2.799129757665949
20260404-072616,4,2.799129757665949
20260404-072616,5,2.799129757665949
20260404-072616,6,2.799129757665949
20260404-072616,7,2.799129757665949
20260404-072616,8,2.799129757665949
20260404-072616,9,2.799129757665949
20260404-072616,10,2.799129757665949
20260406-211427,1,2.801176660939688
20260406-211427,2,2.801176660939688
20260406-211427,3,2.801176660939688
20260406-211427,4,2.801176660939688
20260406-211427,5,2.801176660939688
20260406-211427,6,2.801176660939688
20260406-211427,7,2.801176660939688
20260406-211427,8,2.801176660939688
20260406-211427,9,2.801176660939688
20260406-211427,10,2.801176660939688
